6074,253,1323289070.0
5864,2506,1323315544.0
11118,2506,1323317784.0
11117,2506,1323319129.0
7634,2506,1323320228.0
2029,2506,1323323885.0
11120,2506,1323329370.0
9515,2506,1323330390.0
11119,2506,1323331298.0
7907,113,1323332120.0
7703,113,1323333094.0
21,113,1323335960.0
1082,2506,1323337366.0
4693,2506,1323337843.0
3443,2506,1323338187.0
9086,113,1323339773.0
4922,2506,1323340712.0
11121,2506,1323344899.0
5361,2506,1323345685.0
11123,2506,1323346563.0
7873,25,1323347749.0
11139,1996,1323347860.0
4407,4784,1323348127.0
5061,1695,1323348209.0
11197,833,1323348282.0
266,364,1323348393.0
5915,314,1323348403.0
4408,2506,1323348456.0
1940,4400,1323348495.0
2708,3764,1323348496.0
7659,6324,1323348545.0
8616,2506,1323348547.0
1632,1274,1323348645.0
9772,314,1323348685.0
357,314,1323348776.0
10255,113,1323348876.0
5214,2506,1323348881.0
5210,2036,1323349142.0
1457,1514,1323349164.0
11122,2506,1323349207.0
9344,5302,1323349228.0
3070,2475,1323349327.0
9641,1120,1323349449.0
11226,6750,1323349507.0
11143,700,1323349575.0
10124,3826,1323349617.0
2239,3498,1323349641.0
11303,4147,1323349676.0
1801,7259,1323349697.0
8633,1996,1323349773.0
10409,1083,1323349782.0
7290,6765,1323349822.0
7491,6555,1323349851.0
11125,2506,1323349855.0
8028,2506,1323349869.0
1134,107,1323349962.0
677,3837,1323350119.0
11266,1076,1323350140.0
11146,3826,1323350399.0
9105,3896,1323350418.0
11213,650,1323350489.0
11171,7814,1323350590.0
11299,10431,1323350666.0
1875,2004,1323350695.0
11406,778,1323350699.0
11201,1671,1323350733.0
11129,5302,1323350745.0
8997,1992,1323350751.0
11177,1960,1323350760.0
5362,1401,1323350766.0
11409,5073,1323350812.0
11219,685,1323350853.0
1847,7618,1323350893.0
79,1275,1323350897.0
11176,1960,1323350906.0
11156,817,1323350975.0
10328,949,1323350982.0
6657,6324,1323351039.0
11196,833,1323351043.0
2240,8433,1323351327.0
11249,835,1323351348.0
6974,5302,1323351369.0
10530,3542,1323351385.0
11192,47,1323351466.0
7759,1960,1323351518.0
8801,2004,1323351541.0
11405,778,1323351572.0
320,2506,1323351635.0
435,1120,1323351651.0
11124,25,1323351702.0
3300,1326,1323351712.0
9112,867,1323351719.0
3699,1861,1323351729.0
3202,296,1323351737.0
1713,9128,1323351753.0
796,5367,1323351777.0
11309,1299,1323351811.0
11195,801,1323351833.0
5567,959,1323351854.0
5583,4864,1323351873.0
2696,3982,1323351889.0
11128,5302,1323351894.0
8442,3038,1323351904.0
11318,577,1323351966.0
11431,297,1323352045.0
2208,1996,1323352072.0
11364,20,1323352083.0
1869,1806,1323352114.0
10279,1356,1323352179.0
8528,3756,1323352228.0
1222,3124,1323352329.0
3272,5350,1323352332.0
415,711,1323352345.0
38,5676,1323352352.0
10637,3146,1323352382.0
8694,8434,1323352403.0
11287,3972,1323352444.0
11380,9878,1323352564.0
5528,4922,1323352579.0
3373,107,1323352606.0
11469,1731,1323352642.0
11142,1446,1323352686.0
7799,2506,1323352755.0
11206,2219,1323352763.0
11451,5393,1323352777.0
5958,1981,1323352805.0
11242,2557,1323352878.0
11311,2650,1323352899.0
9282,6824,1323352926.0
11127,5302,1323352947.0
11065,2695,1323352951.0
429,1594,1323352996.0
1530,2501,1323353021.0
11346,10196,1323353037.0
4169,833,1323353063.0
11240,1981,1323353175.0
11497,8060,1323353178.0
11508,2695,1323353199.0
11154,19,1323353205.0
4132,632,1323353231.0
6299,2526,1323353307.0
11292,2400,1323353317.0
11516,10483,1323353329.0
10172,2695,1323353343.0
6601,1368,1323353355.0
6744,10199,1323353417.0
11216,1514,1323353434.0
1039,1514,1323353494.0
11298,83,1323353503.0
10716,1299,1323353503.0
11280,2004,1323353505.0
9175,124,1323353545.0
8652,8257,1323353578.0
6349,10369,1323353591.0
4894,513,1323353596.0
4650,5332,1323353597.0
11312,1275,1323353625.0
11435,6598,1323353646.0
4127,3560,1323353661.0
4196,4518,1323353663.0
11133,134,1323353679.0
11490,4533,1323353689.0
4893,1563,1323353712.0
10551,5744,1323353812.0
7821,1275,1323353963.0
11464,1709,1323353965.0
11158,3764,1323354004.0
11398,4620,1323354008.0
11163,4436,1323354051.0
525,7990,1323354092.0
